loggingTime,loggingSample,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy
2015-04-19 17:37:07.748,1,1429454224.914381,51.73540765633702,39.26784486752663,97.51762,-1,-1,10,65,-9999,1429454227.735365,27.44446563720703,-7.863449096679688,-29.7901611328125,12.22659683227539,1.214908480644226,11,39581.692661,0.093353271484375,-0.2208709716796875,-1.005599975585938,39581.692263,-0.2264397990578404,0.1523975291670213,0.06433850982689729,39581.670595,0.002606833006120968,0.07725452922511128,0.2438124831940821,-0.2402993887662888,-0.05235931649804115,0.06746404618024826,0.04815172404050827,-0.008870558813214302,-0.04046535864472389,XTrueNorthZVertical,-0.1214637464151207,-0.0384894138682008,-0.005988855843655742,-0.9918312733831027,0.07489515095949173,-0.2414041012525558,-0.9675302505493164,27.06210327148438,-6.759997844696045,-24.62985420227051,1
2015-04-19 17:37:07.750,2,1429454224.914381,51.73540765633702,39.26784486752663,97.51762,-1,-1,10,65,-9999,1429454227.735365,27.44446563720703,-7.863449096679688,-29.7901611328125,12.22659683227539,1.214908480644226,11,39581.702416,0.081298828125,-0.2132568359375,-0.9931640625,39581.703127,-0.2226871387658097,0.143982739070698,0.06433584666580722,39581.681429,0.003291895017254716,0.07805238411908019,0.2413312755787383,-0.1818702518939972,0.004378057550638914,0.07238766551017761,0.03741511702537537,-0.001284617464989424,-0.04899497330188751,XTrueNorthZVertical,-0.1202174607934669,-0.03893051238050747,-0.006329236660503802,-0.9919637775733724,0.07571354508399963,-0.2389955371618271,-0.9680643677711487,27.03713989257812,-6.680755138397217,-24.6788444519043,1
2015-04-19 17:37:07.751,3,1429454224.914381,51.73540765633702,39.26784486752663,97.51762,-1,-1,10,65,-9999,1429454227.735365,27.44446563720703,-7.863449096679688,-29.7901611328125,12.22659683227539,1.214908480644226,11,39581.712143,0.07391357421875,-0.2048797607421875,-0.9982757568359375,39581.713961,-0.2509880190378638,0.1029343719248706,0.0393633851241342,39581.692263,0.004245827447667722,0.07840161061020574,0.2397414876640825,-0.1440263986587524,0.0646519735455513,0.07217592746019363,0.02670192532241344,0.01035495847463608,-0.04400523751974106,XTrueNorthZVertical,-0.1194091370675223,-0.03916312009350096,-0.006792632240082501,-0.9920491853153048,0.07608127593994141,-0.237451508641243,-0.9684154391288757,27.06062698364258,-6.620588302612305,-24.66931533813477,1
2015-04-19 17:37:07.752,4,1429454224.914381,51.73540765633702,39.26784486752663,97.51762,-1,-1,10,65,-9999,1429454227.735365,27.44446563720703,-7.863449096679688,-29.7901611328125,12.22659683227539,1.214908480644226,11,39581.721867,0.0731353759765625,-0.203643798828125,-1.005523681640625,39581.713961,-0.2509880190378638,0.1029343719248706,0.0393633851241342,39581.692263,0.004245827447667722,0.07840161061020574,0.2397414876640825,-0.1440263986587524,0.0646519735455513,0.07217592746019363,0.02670192532241344,0.01035495847463608,-0.04400523751974106,XTrueNorthZVertical,-0.1194091370675223,-0.03916312009350096,-0.006792632240082501,-0.9920491853153048,0.07608127593994141,-0.237451508641243,-0.9684154391288757,27.06062698364258,-6.620588302612305,-24.66931533813477,1
2015-04-19 17:37:07.757,5,1429454224.914381,51.73540765633702,39.26784486752663,97.51762,-1,-1,10,65,-9999,1429454227.755265,27.06803894042969,-7.829238891601562,-30.15627670288086,12.12614250183105,1.114454507827759,11,39581.731601,0.07684326171875,-0.206878662109375,-1.015823364257812,39581.724773,-0.268037310020442,0.03425064846340008,0.02164164596631091,39581.703127,0.005162320550292295,0.07884625486059313,0.2383256597839077,-0.1402740031480789,0.05623747035861015,0.07217323780059814,0.004760554060339928,0.02281910739839077,-0.02444839663803577,XTrueNorthZVertical,-0.1186872399469798,-0.03943990149211681,-0.007246293613734976,-0.9921216368979667,0.07653827220201492,-0.2360759377479553,-0.9687156677246094,27.06062698364258,-6.620588302612305,-24.66931533813477,1
2015-04-19 17:37:07.767,6,1429454224.914381,51.73540765633702,39.26784486752663,97.51762,-1,-1,10,65,-9999,1429454227.755265,27.06803894042969,-7.829238891601562,-30.15627670288086,12.12614250183105,1.114454507827759,11,39581.741336,0.086761474609375,-0.2111968994140625,-1.019012451171875,39581.735628,-0.2691718166448158,-0.04762717398665007,0.005280515809409114,39581.713961,0.005955050621625524,0.07879263020664723,0.2353712167212307,-0.1685865223407745,0.01518341153860092,0.04719873517751694,-0.002627317793667316,0.02832422219216824,-0.0288649071007967,XTrueNorthZVertical,-0.1172060520579371,-0.03946285061494338,-0.007579098490328996,-0.9922943111681061,0.07654089480638504,-0.2332039773464203,-0.9694108366966248,27.0778694152832,-6.59641170501709,-24.65686798095703,1
2015-04-19 17:37:07.777,7,1429454224.914381,51.73540765633702,39.26784486752663,97.51762,-1,-1,10,65,-9999,1429454227.755265,27.06803894042969,-7.829238891601562,-30.15627670288086,12.12614250183105,1.114454507827759,11,39581.751072,0.098114013671875,-0.216522216796875,-1.009765625,39581.746462,-0.2536908612281852,-0.1101885564181375,-0.003416036730244639,39581.724773,0.006483949079648744,0.07829889645482409,0.2334367025238455,-0.1856360137462616,-0.05350011959671974,0.02947698161005974,-0.002962020924314857,0.02767857350409031,-0.03562721982598305,XTrueNorthZVertical,-0.1162376496540377,-0.03925019392384475,-0.007775346139653605,-0.9924151313842567,0.07609739899635315,-0.2313223779201508,-0.9698964357376099,27.0778694152832,-6.59641170501709,-24.65686798095703,1
2015-04-19 17:37:07.796,8,1429454224.914381,51.73540765633702,39.26784486752663,97.51762,-1,-1,10,65,-9999,1429454227.775739,26.96537780761719,-7.589691162109375,-29.72359466552734,12.02923965454102,1.017551898956299,11,39581.760798,0.10791015625,-0.219024658203125,-0.9996795654296875,39581.757296,-0.2378389274717065,-0.1209650377691431,0.002811232846687644,39581.735628,0.006833745734100045,0.07698615429617511,0.2314230069440277,-0.1867706775665283,-0.1353777498006821,0.0131158335134387,0.00198348006233573,0.02248416468501091,-0.04536537453532219,XTrueNorthZVertical,-0.1152366505860859,-0.03862020131340028,-0.007834538639437959,-0.9925561104263563,0.07485978305339813,-0.2293628305196762,-0.9704579710960388,27.07430267333984,-6.518453121185303,-24.68150329589844,1
2015-04-19 17:37:07.798,9,1429454224.914381,51.73540765633702,39.26784486752663,97.51762,-1,-1,10,65,-9999,1429454227.794798,26.69161224365234,-7.452812194824219,-29.85672760009766,11.99582099914551,0.984133243560791,11,39581.770512,0.1058502197265625,-0.22412109375,-0.98968505859375,39581.76813,-0.2245926305257614,-0.1209059155929434,0.01392620197224235,39581.746462,0.007051731129380795,0.07492833257964791,0.2295295696228677,-0.1712899208068848,-0.1979389488697052,0.004419264383614063,0.01386650092899799,0.01632255688309669,-0.04797114431858063,XTrueNorthZVertical,-0.114300763868491,-0.03761225363225335,-0.007789311093938644,-0.9927033788179839,0.07289497554302216,-0.2275194525718689,-0.9710413217544556,27.07430267333984,-6.518453121185303,-24.68150329589844,1
2015-04-19 17:37:07.806,10,1429454224.914381,51.73540765633702,39.26784486752663,97.51762,-1,-1,10,65,-9999,1429454227.794798,26.69161224365234,-7.452812194824219,-29.85672760009766,11.99582099914551,0.984133243560791,11,39581.780246,0.09771728515625,-0.2214813232421875,-0.98480224609375,39581.778963,-0.2165975546172345,-0.09078316681916611,0.02032391385893971,39581.757296,0.007090057671753016,0.07338525079501451,0.2271489662329657,-0.1554468125104904,-0.2087100893259048,0.01064417604357004,0.02667801268398762,0.008678427897393703,-0.03807556629180908,XTrueNorthZVertical,-0.1131242668475836,-0.0368493068281103,-0.007677244507490108,-0.9928676179035321,0.07143600285053253,-0.2252006381750107,-0.9716900587081909,26.97551918029785,-6.363866806030273,-24.82956695556641,1
