loggingTime,loggingSample,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy
2015-04-18 19:53:30.027,1,1429376009.163033,51.73566050832321,39.26730805080316,96.83215,0.72,248.5546875,12,30,-9999,1429376010.013156,-5.281890869140625,-22.58341979980469,-38.83396911621094,178.4072265625,167.3960876464844,10,298.66877125,0.00958251953125,0.004791259765625,-1.006027221679688,298.67599225,-0.08595032838899931,0.08881802025079664,-0.007950601118322558,298.65432525,1.51086500468352,0.009803480820316219,-0.003192133495855394,-0.002405175706371665,0.003800099948421121,-0.001889061415567994,-0.0004496361361816525,0.0006988631212152541,-0.004371385555714369,XTrueNorthZVertical,-0.004522515993793021,0.002474070426572792,0.685588781963023,0.7279706632579016,0.009803273715078831,0.003192128147929907,-0.9999468326568604,-2.809096813201904,-20.65593719482422,-38.63998031616211,2
2015-04-18 19:53:30.029,2,1429376009.163033,51.73566050832321,39.26730805080316,96.83215,0.72,248.5546875,12,30,-9999,1429376010.013156,-5.281890869140625,-22.58341979980469,-38.83396911621094,178.4072265625,167.3960876464844,10,298.67850625,0.0115203857421875,0.006072998046875,-1.008148193359375,298.67599225,-0.08595032838899931,0.08881802025079664,-0.007950601118322558,298.65432525,1.51086500468352,0.009803480820316219,-0.003192133495855394,-0.002405175706371665,0.003800099948421121,-0.001889061415567994,-0.0004496361361816525,0.0006988631212152541,-0.004371385555714369,XTrueNorthZVertical,-0.004522515993793021,0.002474070426572792,0.685588781963023,0.7279706632579016,0.009803273715078831,0.003192128147929907,-0.9999468326568604,-2.809096813201904,-20.65593719482422,-38.63998031616211,2
2015-04-18 19:53:30.030,3,1429376009.163033,51.73566050832321,39.26730805080316,96.83215,0.72,248.5546875,12,30,-9999,1429376010.013156,-5.281890869140625,-22.58341979980469,-38.83396911621094,178.4072265625,167.3960876464844,10,298.68824125,0.009613037109375,0.0061187744140625,-1.005172729492188,298.67599225,-0.08595032838899931,0.08881802025079664,-0.007950601118322558,298.66515925,1.510844705112383,0.009812412888690643,-0.0032130128646248,8.462092955596745e-05,-0.001007340848445892,-0.001885341946035624,7.549053407274187e-05,0.001349370577372611,-0.006339923944324255,XTrueNorthZVertical,-0.004533152458045225,0.002470210128992673,0.685581324229647,0.7279776336889168,0.009812205098569393,0.003213007235899568,-0.9999467134475708,-2.805881261825562,-20.65410423278809,-38.64119338989258,2
2015-04-18 19:53:30.037,4,1429376009.163033,51.73566050832321,39.26730805080316,96.83215,0.72,248.5546875,12,30,-9999,1429376010.033114,-4.973907470703125,-22.89141082763672,-38.73411560058594,178.4060821533203,167.3949432373047,10,298.69797625,0.00994873046875,0.0032806396484375,-1.00518798828125,298.69769025,-0.08595725260783352,0.08882068341188672,-0.006738063874009481,298.67599225,1.510830853326109,0.009816395347435513,-0.003256910623181887,4.907944094156846e-05,0.001399782951921225,-0.00186884670984,-0.0002336660982109606,0.001534354873001575,-0.006080705672502518,XTrueNorthZVertical,-0.004550478650853685,0.002456643219332096,0.6855761705253025,0.7279824250276121,0.0098161855712533,0.003256904892623425,-0.9999465346336365,-2.805881261825562,-20.65410423278809,-38.64119338989258,2
2015-04-18 19:53:30.046,5,1429376009.163033,51.73566050832321,39.26730805080316,96.83215,0.72,248.5546875,12,30,-9999,1429376010.033114,-4.973907470703125,-22.89141082763672,-38.73411560058594,178.4060821533203,167.3949432373047,10,298.70771225,0.010498046875,0.004241943359375,-1.0067138671875,298.70852425,-0.08357265816777658,0.09123403999171653,-0.006684800652207896,298.68683625,1.510810916997405,0.00985085135411185,-0.003248246332022386,0.002461369382217526,0.001409230870194733,-0.0006195712485350668,0.001669745659455657,0.002824757480993867,-0.008201987482607365,XTrueNorthZVertical,-0.004559111438995928,0.00247220041721746,0.6855688557094203,0.7279892069957773,0.009850639849901199,0.003248240565881133,-0.9999461770057678,-2.805161952972412,-20.65167617797852,-38.64254379272461,2
2015-04-18 19:53:30.056,6,1429376009.163033,51.73566050832321,39.26730805080316,96.83215,0.72,248.5546875,12,30,-9999,1429376010.050948,-5.145011901855469,-23.19939422607422,-38.76740264892578,178.4024047851562,167.3912658691406,10,298.71744125,0.0103302001953125,0.006439208984375,-1.005538940429688,298.71935825,-0.08719162777308526,0.09002363327627551,-0.005535646641838705,298.69769025,1.510803831394273,0.009867943274253079,-0.003293449587102612,4.107447239221074e-05,0.00140299298800528,-0.0006563413771800697,-0.0002546925097703934,0.002825330710038543,-0.005226840265095234,XTrueNorthZVertical,-0.004581415051732013,0.002462942778005062,0.6855661310732205,0.7279916642155819,0.009867729619145393,0.003293443704023957,-0.9999458789825439,-2.805161952972412,-20.65167617797852,-38.64254379272461,2
2015-04-18 19:53:30.080,7,1429376009.163033,51.73566050832321,39.26730805080316,96.83215,0.72,248.5546875,12,30,-9999,1429376010.07086,-5.076568603515625,-22.85718536376953,-38.30143356323242,178.3985443115234,167.3874053955078,10,298.72718225,0.007537841796875,0.0061798095703125,-1.005294799804688,298.73020325,-0.08596098103335964,0.09001883958631338,-0.009154882563256389,298.70852425,1.510804113255302,0.009899022669667863,-0.003306596422212474,0.002512717386707664,0.003817828139290214,-0.0004633788485080004,0.0005992400110699236,0.0009353529894724488,-0.006768328603357077,XTrueNorthZVertical,-0.004596854211539188,0.002469748311330817,0.6855661312716155,0.7279915436466192,0.009898806922137737,0.003306590486317873,-0.9999455213546753,-2.802097320556641,-20.64990234375,-38.64371490478516,2
2015-04-18 19:53:30.081,8,1429376009.163033,51.73566050832321,39.26730805080316,96.83215,0.72,248.5546875,12,30,-9999,1429376010.07086,-5.076568603515625,-22.85718536376953,-38.30143356323242,178.3985443115234,167.3874053955078,10,298.73691625,0.0095672607421875,0.0030670166015625,-1.001968383789062,298.73020325,-0.08596098103335964,0.09001883958631338,-0.009154882563256389,298.71935825,1.510818355273444,0.00993312013015734,-0.003348357465341402,-0.001106804120354354,0.002607655245810747,0.0006857577827759087,0.0003972990962211043,0.003090857760980725,-0.005593879148364067,XTrueNorthZVertical,-0.004623760426818327,0.002467811489410145,0.6855711375059594,0.7279866653022115,0.009932900778949261,0.003348351223394275,-0.9999450445175171,-2.802097320556641,-20.64990234375,-38.64371490478516,2
2015-04-18 19:53:30.085,9,1429376009.163033,51.73566050832321,39.26730805080316,96.83215,0.72,248.5546875,12,30,-9999,1429376010.07086,-5.076568603515625,-22.85718536376953,-38.30143356323242,178.3985443115234,167.3874053955078,10,298.74662125,0.0116119384765625,0.0059967041015625,-1.004226684570312,298.75185925,-0.08471595322374759,0.08761507038640785,-0.009153018350493335,298.73020325,1.510799528803175,0.00992215087510274,-0.003398439830586495,0.0001233291550306603,0.002602766966447234,-0.002933500567451119,-0.002384088933467865,0.002781376242637634,-0.005349798128008842,XTrueNorthZVertical,-0.004638206656382337,0.002446694594612449,0.6855641907190896,0.7279931866585937,0.009921930730342865,0.003398433327674866,-0.9999449849128723,-2.802097320556641,-20.64990234375,-38.64371490478516,2
2015-04-18 19:53:30.095,10,1429376009.163033,51.73566050832321,39.26730805080316,96.83215,0.72,248.5546875,12,30,-9999,1429376010.09053,-4.939689636230469,-23.13095092773438,-38.23486328125,178.3997344970703,167.3885955810547,10,298.75637125,0.0091705322265625,0.0037689208984375,-1.00689697265625,298.76269325,-0.08716712669105652,0.08881748761857862,-0.006756439685531027,298.74103725,1.510774197761056,0.009937530667359199,-0.003398349036228079,0.0001338298461632803,0.001402092981152236,-0.001729233306832612,-0.0003700489760376513,-0.0003313258930575103,-0.002023534849286079,XTrueNorthZVertical,-0.004643414465862405,0.002452382722133365,0.6855549347807086,0.7280018506926899,0.00993730966001749,0.003398342523723841,-0.9999448657035828,-2.799018859863281,-20.64616394042969,-38.64593887329102,2
