locationTimestamp_since1970,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroRotationX,gyroRotationY,gyroRotationZ
1430779204.985426,0.1218414306640625,-0.448944091796875,-0.8849029541015625,-0.286923383206848,0.02923112244081873,-0.04901255038570929
1430779204.985426,0.122222900390625,-0.445831298828125,-0.891754150390625,-0.252979530901025,-0.06332144860659603,-0.0358141903393856
1430779204.985426,0.122406005859375,-0.44134521484375,-0.9005889892578125,-0.2667667158643652,-0.113903399822689,-0.03516890640725939
1430779204.985426,0.1233673095703125,-0.439453125,-0.9102935791015625,-0.31525702036031,-0.1056175067231255,-0.04069629724971886
1430779204.985426,0.1218109130859375,-0.443145751953125,-0.900177001953125,-0.3588295315873144,-0.09136533383345743,-0.07520979971270975
1430779204.985426,0.11810302734375,-0.4447174072265625,-0.890289306640625,-0.396289821796478,-0.07951479961482284,-0.1144980836941037
1430779204.985426,0.111236572265625,-0.4398651123046875,-0.88433837890625,-0.396289821796478,-0.07951479961482284,-0.1144980836941037
1430779204.985426,0.1087188720703125,-0.4321746826171875,-0.8872833251953125,-0.4312419468910049,-0.07606893548036932,-0.1477447204265439
1430779204.985426,0.113739013671875,-0.4256439208984375,-0.8930206298828125,-0.4726306660241444,-0.04376878619934328,-0.1869477832530553
1430779204.985426,0.1106719970703125,-0.4169921875,-0.897796630859375,-0.5178380918443485,-0.0018317221977565,-0.2176521664089059
1430779204.985426,0.101409912109375,-0.40789794921875,-0.9003448486328125,-0.5591905919866629,0.02327416371452948,-0.244779391588562
1430779204.985426,0.099151611328125,-0.405975341796875,-0.8983612060546875,-0.5521252256146826,0.03892529512481616,-0.250624497549068
1430779204.985426,0.09619140625,-0.4020233154296875,-0.899322509765625,-0.5230834539273685,0.03301653961425736,-0.2356743101376901
1430779204.985426,0.0894622802734375,-0.3850250244140625,-0.9006195068359375,-0.4804545006745792,0.004298075683278882,-0.2109785510332763
1430779204.985426,0.1124725341796875,-0.4136505126953125,-0.9166412353515625,-0.4096021651374571,-0.04723702088695347,-0.1969298436508903
1430779204.985426,0.1205902099609375,-0.4259796142578125,-0.9232940673828125,-0.3030035498687464,-0.1396218127856932,-0.1935417701120915
1430779204.985426,0.121856689453125,-0.4199981689453125,-0.925811767578125,-0.3030035498687464,-0.1396218127856932,-0.1935417701120915
1430779204.985426,0.121673583984375,-0.4076080322265625,-0.9320068359375,-0.2025421893321233,-0.2260051711679394,-0.1902042966340042
1430779204.985426,0.12017822265625,-0.4010009765625,-0.9384613037109375,-0.1484997265955814,-0.2788311019185332,-0.1958217023213084
1430779204.985426,0.12109375,-0.401275634765625,-0.943756103515625,-0.1372385499261813,-0.3028799791941667,-0.1994590477381386
1430779204.985426,0.11590576171875,-0.3978729248046875,-0.936798095703125,-0.1528332223213583,-0.3125467213189363,-0.1985514424386396
1430779204.985426,0.110992431640625,-0.3963470458984375,-0.9250030517578125,-0.1708684155394839,-0.3222118655470519,-0.1940429770292444
1430779204.985426,0.1029205322265625,-0.39453125,-0.9181365966796875,-0.1989820755869054,-0.3102079332496288,-0.1749824667914383
1430779204.985426,0.0986785888671875,-0.393463134765625,-0.9141387939453125,-0.2215726058496116,-0.2668708454629873,-0.1434900542690333
1430779204.985426,0.094390869140625,-0.393798828125,-0.9103546142578125,-0.2307943337562289,-0.2295053637886306,-0.1069866378395352
1430779204.985426,0.08612060546875,-0.396087646484375,-0.90386962890625,-0.225854436250241,-0.1752101670646401,-0.05074653457145988
1430779204.985426,0.076141357421875,-0.391876220703125,-0.8951416015625,-0.225854436250241,-0.1752101670646401,-0.05074653457145988
1430779204.985426,0.06732177734375,-0.3905181884765625,-0.894195556640625,-0.3413410853409821,-0.1214502657197556,-0.09455952924489847
1430779204.985426,0.0615997314453125,-0.390594482421875,-0.8977203369140625,-0.4848071711602047,-0.08326266621689135,-0.07221294453804358
1430779204.985426,0.053863525390625,-0.3856964111328125,-0.9017791748046875,-0.5439487884359213,-0.115785455765048,-0.0151344781588113
1430779204.985426,0.0545654296875,-0.3351593017578125,-0.9001312255859375,-0.544641210319342,-0.08440436337620832,0.02630643893169371
1430779204.985426,0.030548095703125,-0.35418701171875,-0.925689697265625,-0.4991544189007885,-0.06734095763985262,0.06955910451177963
1430779204.985426,0.021881103515625,-0.377685546875,-0.9136962890625,-0.4339836712332415,-0.06830262510948024,0.1020691108867039
1430779204.985426,0.0438995361328125,-0.3926544189453125,-0.923919677734375,-0.3689237110670417,-0.06922168200166658,0.1539797131706374
1430779206.004527,0.04791259765625,-0.381805419921875,-0.9320831298828125,-0.2888589686871175,-0.09302714635366688,0.1792781456297362
1430779206.004527,0.0572052001953125,-0.3722076416015625,-0.924102783203125,-0.2888589686871175,-0.09302714635366688,0.1792781456297362
1430779206.004527,0.060394287109375,-0.369140625,-0.918426513671875,-0.2334300642870804,-0.07603937439226943,0.1766014024180975
1430779206.004527,0.052734375,-0.3545989990234375,-0.921295166015625,-0.1876007903523428,-0.07346835867590694,0.196716790763684
1430779206.004527,0.0721588134765625,-0.3548736572265625,-0.923370361328125,-0.1350350504402498,-0.1094407407840432,0.194834202189107
1430779206.004527,0.081207275390625,-0.3627166748046875,-0.937347412109375,-0.0739815498179652,-0.1358241450712402,0.165257934071014
1430779206.004527,0.07415771484375,-0.366851806640625,-0.9467620849609375,-0.004829642636858699,-0.129731098813248,0.1178451445521153
1430779206.004527,0.076141357421875,-0.3670196533203125,-0.957244873046875,0.07527984084937883,-0.1212422728386204,0.05242619027097286
