loggingTime,loggingSample,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,IP_en0,IP_pdp_ip0,deviceOrientation,state
2015-04-09 17:44:44.760,1,1428590683.834656,51.73542644367715,39.26781171936474,94.85291,0.27,15.8203125,12,30,-9999,1428590684.727947,-5.327568054199219,18.90039825439453,-50.33597564697266,289.0610046386719,278.3376770019531,16,619809.7282782918,0.0558624267578125,-0.184661865234375,-0.8934783935546875,619809.7133442917,-0.4838958374351796,-0.1183181219617134,-0.1427795228902002,619809.7133442917,-0.4727172126023589,0.01511953386117346,0.1641933133254111,-0.4027706384658813,-0.2071439176797867,-0.1331755965948105,0.04376968741416931,-0.03564013168215752,0.09686563163995743,XArbitraryZVertical,-0.08148647428066094,0.01187718823155681,0.2327659992919884,-0.969040183110397,0.01491561625152826,-0.1634565442800522,-0.9864377975463867,0,0,0,-1,619806.5149472917,unknown,0,2015-04-09 17:44:41.524,2015-04-09 17:44:16.556,10,8.116682,-1,-1,2015-04-09 17:44:44.071,192.168.1.24,100.109.58.95,5,0
2015-04-09 17:44:44.773,2,1428590683.834656,51.73542644367715,39.26781171936474,94.85291,0.27,15.8203125,12,30,-9999,1428590684.767645,-5.122238159179688,18.83195114135742,-50.20284652709961,289.5440063476562,278.8206787109375,16,619809.7477182917,0.0276031494140625,-0.148223876953125,-0.898101806640625,619809.7350122917,-0.2819640446249024,0.03518142326438277,-0.08527388547211918,619809.7350122917,-0.4751560245796304,0.01489720426573055,0.1591542167417511,-0.2008401900529861,-0.05364236608147621,-0.07566986978054047,0.04115404188632965,-0.02617869526147842,0.0937737300992012,XArbitraryZVertical,-0.07900556860468264,0.01149174191483522,0.2340225955828686,-0.9689476171361799,0.01470838487148285,-0.158483162522316,-0.9872521162033081,0,0,0,-1,619806.5149472917,unknown,0,2015-04-09 17:44:41.524,2015-04-09 17:44:16.556,10,8.116682,-1,-1,2015-04-09 17:44:44.071,192.168.1.24,100.109.58.95,5,0
2015-04-09 17:44:44.812,3,1428590683.834656,51.73542644367715,39.26781171936474,94.85291,0.27,15.8203125,12,30,-9999,1428590684.767645,-5.122238159179688,18.83195114135742,-50.20284652709961,289.5440063476562,278.8206787109375,16,619809.7671892917,0.042236328125,-0.150360107421875,-1.007278442382812,619809.7566822917,-0.1468158098383243,-0.02941461423992519,-0.06670446213932368,619809.7566822917,-0.4765271905434831,0.0136238500012151,0.1569157794754685,-0.06569231301546097,-0.1182380169630051,-0.05710048601031303,0.01414709910750389,0.008048750460147858,0.08952049165964127,XArbitraryZVertical,-0.07776419671542653,0.01189879865256576,0.2347653189633421,-0.9688634544206324,0.01345605030655861,-0.1562726199626923,-0.9876223206520081,0,0,0,-1,619806.5149472917,unknown,0,2015-04-09 17:44:41.524,2015-04-09 17:44:16.556,10,8.116682,-1,-1,2015-04-09 17:44:44.071,192.168.1.24,100.109.58.95,5,0
2015-04-09 17:44:44.815,4,1428590683.834656,51.73542644367715,39.26781171936474,94.85291,0.27,15.8203125,12,30,-9999,1428590684.807228,-5.088005065917969,19.68747329711914,-50.03643035888672,289.7688293457031,279.0455017089844,16,619809.7866582917,0.068511962890625,-0.1610260009765625,-1.069534301757812,619809.7783472918,-0.09447137861281685,-0.1208196291736248,-0.1005111616490076,619809.7566822917,-0.4765271905434831,0.0136238500012151,0.1569157794754685,-0.06569231301546097,-0.1182380169630051,-0.05710048601031303,0.01414709910750389,0.008048750460147858,0.08952049165964127,XArbitraryZVertical,-0.07776419671542653,0.01189879865256576,0.2347653189633421,-0.9688634544206324,0.01345605030655861,-0.1562726199626923,-0.9876223206520081,0,0,0,-1,619806.5149472917,unknown,0,2015-04-09 17:44:41.524,2015-04-09 17:44:16.556,10,8.116682,-1,-1,2015-04-09 17:44:44.071,192.168.1.24,100.109.58.95,5,0
2015-04-09 17:44:44.820,5,1428590683.834656,51.73542644367715,39.26781171936474,94.85291,0.27,15.8203125,12,30,-9999,1428590684.807228,-5.088005065917969,19.68747329711914,-50.03643035888672,289.7688293457031,279.0455017089844,16,619809.8061292917,0.0344085693359375,-0.1491241455078125,-1.06341552734375,619809.8000142917,-0.1994284213856027,-0.1248039844804923,-0.1457859654447906,619809.7783472918,-0.4786064801813139,0.01208160348033339,0.1560699830699687,-0.01335055567324162,-0.2096416652202606,-0.09090756624937057,0.06524448096752167,-0.005894010420888662,-0.06679174304008484,XArbitraryZVertical,-0.0771604162827627,0.01262643699640127,0.23584266122462,-0.9686408428279009,0.01193447038531303,-0.155437171459198,-0.9877736568450928,0,0,0,-1,619806.5149472917,unknown,0,2015-04-09 17:44:41.524,2015-04-09 17:44:16.556,10,8.116682,-1,-1,2015-04-09 17:44:44.071,192.168.1.24,100.109.58.95,5,0
2015-04-09 17:44:44.840,6,1428590683.834656,51.73542644367715,39.26781171936474,94.85291,0.27,15.8203125,12,30,-9999,1428590684.827322,-5.430221557617188,19.27682113647461,-50.63553237915039,289.890869140625,279.1675415039062,16,619809.8255992917,0.0084075927734375,-0.1511688232421875,-1.003265380859375,619809.8217062918,-0.2748733782225664,-0.1480419292041968,-0.2247028853948907,619809.8000142917,-0.4811503369554762,0.007921182977693437,0.1545265462642367,-0.1183079481124878,-0.2136256396770477,-0.1361823976039886,0.03480634093284607,0.006939648184925318,-0.08225898444652557,XArbitraryZVertical,-0.07590378953216481,0.01455534587258851,0.2372516976204735,-0.9683689320798142,0.007826716639101505,-0.1539123058319092,-0.9880535006523132,0,0,0,-1,619806.5149472917,unknown,0,2015-04-09 17:44:41.524,2015-04-09 17:44:16.556,10,8.116682,-1,-1,2015-04-09 17:44:44.071,192.168.1.24,100.109.58.95,5,0
2015-04-09 17:44:44.860,7,1428590684.839109,51.73539580782106,39.26777048040113,94.87317,0.15,15.8203125,16,30,-9999,1428590684.827322,-5.430221557617188,19.27682113647461,-50.63553237915039,289.890869140625,279.1675415039062,16,619809.8450382916,0.0040435791015625,-0.163116455078125,-0.9382171630859375,619809.8433602917,-0.2931743549174819,-0.1300802392321573,-0.2442552814860344,619809.8217062918,-0.4853001128652009,0.003947276199997169,0.1504162620582279,-0.1937536001205444,-0.2368635237216949,-0.2150995135307312,0.01002857834100723,0.001931006205268204,-0.04772164672613144,XArbitraryZVertical,-0.07340881348085973,0.01614323199049569,0.2394522616527902,-0.9679943990300809,0.003902696538716555,-0.1498497128486633,-0.9887011051177979,0,0,0,-1,619806.5149472917,unknown,0,2015-04-09 17:44:41.524,2015-04-09 17:44:16.556,10,8.116682,-1,-1,2015-04-09 17:44:44.071,192.168.1.24,100.109.58.95,5,0
2015-04-09 17:44:44.880,8,1428590684.839109,51.73539580782106,39.26777048040113,94.87317,0.15,15.8203125,16,30,-9999,1428590684.866891,-5.772430419921875,20.23500823974609,-50.96836471557617,290.3145141601562,279.5911865234375,16,619809.8645092917,0.002777099609375,-0.165618896484375,-0.9507598876953125,619809.8650472917,-0.26276025632045,0.004905276411816949,-0.193120458027641,619809.8433602917,-0.4904370983787543,-0.0003911650199168145,0.1457514954227606,-0.2120549231767654,-0.2189014405012131,-0.2346519529819489,0.01262456644326448,-0.01585103757679462,0.0251025315374136,XArbitraryZVertical,-0.07058570219557694,0.01786549623341713,0.242137780826448,-0.9675059574939806,-0.0003870174987241626,-0.145236000418663,-0.9893969893455505,0,0,0,-1,619806.5149472917,unknown,0,2015-04-09 17:44:41.524,2015-04-09 17:44:16.556,10,8.116682,-1,-1,2015-04-09 17:44:44.071,192.168.1.24,100.109.58.95,5,0
2015-04-09 17:44:44.899,9,1428590684.839109,51.73539580782106,39.26777048040113,94.87317,0.15,15.8203125,16,30,-9999,1428590684.866891,-5.772430419921875,20.23500823974609,-50.96836471557617,290.3145141601562,279.5911865234375,16,619809.8839792917,0.027313232421875,-0.17144775390625,-0.952728271484375,619809.8650472917,-0.26276025632045,0.004905276411816949,-0.193120458027641,619809.8650472917,-0.4949359721943604,-0.002749739862322178,0.1427430673287901,-0.1816405951976776,-0.0839143842458725,-0.183516800403595,0.005498869810253382,-0.02336008101701736,0.03906586393713951,XArbitraryZVertical,-0.06880253872039407,0.01879718432454742,0.2444210848388425,-0.9670425067251757,-0.002721770200878382,-0.142258808016777,-0.9898257255554199,0,0,0,-1,619806.5149472917,unknown,0,2015-04-09 17:44:41.524,2015-04-09 17:44:16.556,10,8.116682,-1,-1,2015-04-09 17:44:44.071,192.168.1.24,100.109.58.95,5,0
2015-04-09 17:44:44.917,10,1428590684.839109,51.73539580782106,39.26777048040113,94.87317,0.15,15.8203125,16,30,-9999,1428590684.904996,-6.114639282226562,20.44033432006836,-51.56746673583984,290.7649841308594,280.0416564941406,16,619809.9034492917,0.0421905517578125,-0.169158935546875,-0.94708251953125,619809.8867152917,-0.1542612092978588,0.09915561265415722,-0.1507905777652675,619809.8867152917,-0.498316820616545,-0.002626123606293118,0.1402791711586804,-0.07314188778400421,0.01033633854240179,-0.1411869674921036,0.02991355583071709,-0.03162820637226105,0.0374453142285347,XArbitraryZVertical,-0.06759492763586486,0.0185508044437479,0.2460711085691945,-0.9667139199059512,-0.002600324107334018,-0.139819547533989,-0.9901735782623291,0,0,0,-1,619806.5149472917,unknown,0,2015-04-09 17:44:41.524,2015-04-09 17:44:16.556,10,8.116682,-1,-1,2015-04-09 17:44:44.071,192.168.1.24,100.109.58.95,5,0
