loggingTime,loggingSample,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,IP_en0,IP_pdp_ip0,deviceOrientation,state
2015-04-09 17:44:34.763,1,1428590673.838302,51.7356636515369,39.26763989034972,92.41064,1428590674.737783,-38.00848388671875,21.12475204467773,-50.43582916259766,64.48478698730469,53.76145935058594,619799.7032226668,0.0398712158203125,-0.1982879638671875,-0.9674530029296875,619799.7003336668,-0.1503666025197269,0.2692067040550958,0.005688512088409253,619799.6786656667,2.744964631768451,0.07255753193946517,0.1865199900699231,-0.1184502616524696,0.08116035908460617,0.01490638498216867,-0.003426456823945045,-0.02777068503201008,0.08514203131198883,-0.01707029939156441,0.09835445763925556,0.9761629129502897,0.1927199338978413,0.0712365135550499,-0.1854403764009476,-0.9800699949264526,192.168.1.24,100.109.58.95,5,0
2015-04-09 17:44:34.777,2,1428590673.838302,51.7356636515369,39.26763989034972,92.41064,1428590674.737783,-38.00848388671875,21.12475204467773,-50.43582916259766,64.48478698730469,53.76145935058594,619799.7227136667,0.0500335693359375,-0.1865081787109375,-1.009674072265625,619799.7220016667,-0.1690316333356563,0.2198234416456475,0.009906160306767742,619799.7003336668,2.745352951126561,0.07534837133751406,0.1846421831838451,-0.06907019764184952,0.1799777746200562,0.01514257676899433,-0.03899387270212173,-0.009489906020462513,0.04022570699453354,-0.01863867557047022,0.09770442480973678,0.9762538191364898,0.1924446044112643,0.07399753481149673,-0.1835948079824448,-0.9802128672599792,192.168.1.24,100.109.58.95,5,0
2015-04-09 17:44:34.811,3,1428590673.838302,51.7356636515369,39.26763989034972,92.41064,1428590674.776776,-37.87159729003906,21.39851760864258,-50.30269622802734,64.4132080078125,53.68988037109375,619799.7421846667,0.0503997802734375,-0.1768798828125,-1.014450073242188,619799.7436686667,-0.2257508392838369,-0.1041748723606296,-0.03811569415343207,619799.7220016667,2.745963652476088,0.0787846266281054,0.1838669679966691,-0.08773498982191086,0.1305923014879227,0.01936084404587746,-0.02000348456203938,-0.008054733276367188,-0.01529742684215307,-0.02042308036875423,0.09765084937877817,0.9763109698233965,0.1920002593914045,0.07737652957439423,-0.1828327178955078,-0.9800944328308105,192.168.1.24,100.109.58.95,5,0
2015-04-09 17:44:34.813,4,1428590673.838302,51.7356636515369,39.26763989034972,92.41064,1428590674.776776,-37.87159729003906,21.39851760864258,-50.30269622802734,64.4132080078125,53.68988037109375,619799.7616246667,0.071929931640625,-0.1901397705078125,-1.006576538085938,619799.7653666667,-0.2204681929455557,-0.135447307776994,-0.03583176720258012,619799.7436686667,2.746026252918178,0.07677333061216948,0.1807104028328018,-0.1444546282291412,-0.1934055238962173,-0.02866106294095516,-0.02504922449588776,0.002848570700734854,-0.03363147005438805,-0.01975831273990217,0.09591823559207224,0.9764659225088764,0.1921551543349236,0.07544900476932526,-0.1797284483909607,-0.9808186292648315,192.168.1.24,100.109.58.95,5,0
2015-04-09 17:44:34.818,5,1428590673.838302,51.7356636515369,39.26763989034972,92.41064,1428590674.776776,-37.87159729003906,21.39851760864258,-50.30269622802734,64.4132080078125,53.68988037109375,619799.7810946667,0.0518341064453125,-0.1688232421875,-0.9972686767578125,619799.7870336667,-0.2345027855741643,-0.09331796354470354,-0.0163443522420343,619799.7653666667,2.74554974251449,0.07167954527340191,0.1773706802315154,-0.1391742527484894,-0.224680170416832,-0.0263772327452898,0.001435368089005351,-0.01369765307754278,-0.02479311265051365,-0.01758079127790582,0.09380406593385408,0.9766017613368538,0.1927192588873461,0.07049456238746643,-0.1764421164989471,-0.9817834496498108,192.168.1.24,100.109.58.95,5,0
2015-04-09 17:44:34.822,6,1428590673.838302,51.7356636515369,39.26763989034972,92.41064,1428590674.816058,-38.00848388671875,21.05630874633789,-50.43582916259766,64.69589233398438,53.97256469726562,619799.8005636667,0.0518646240234375,-0.1834869384765625,-0.983245849609375,619799.7870336667,-0.2345027855741643,-0.09331796354470354,-0.0163443522420343,619799.7653666667,2.74554974251449,0.07167954527340191,0.1773706802315154,-0.1391742527484894,-0.224680170416832,-0.0263772327452898,0.001435368089005351,-0.01369765307754278,-0.02479311265051365,-0.01758079127790582,0.09380406593385408,0.9766017613368538,0.1927192588873461,0.07049456238746643,-0.1764421164989471,-0.9817834496498108,192.168.1.24,100.109.58.95,5,0
2015-04-09 17:44:34.835,7,1428590673.838302,51.7356636515369,39.26763989034972,92.41064,1428590674.816058,-38.00848388671875,21.05630874633789,-50.43582916259766,64.69589233398438,53.97256469726562,619799.8200486667,0.0979461669921875,-0.20611572265625,-0.9521331787109375,619799.8087006666,-0.2246445621670179,-0.01989274807845588,-0.02295058964208486,619799.7870336667,2.745545927506579,0.06710447523310281,0.1740712288079456,-0.1532091051340103,-0.1825505346059799,-0.00688984664157033,-0.01420668419450521,0.004370234906673431,-0.01459750439971685,-0.01567443906845904,0.09175361381452989,0.9767700597156814,0.1930177109876204,0.06604079157114029,-0.1731934696435928,-0.9826712012290955,192.168.1.24,100.109.58.95,5,0
2015-04-09 17:44:34.854,8,1428590674.828912,51.73566398681303,39.26762790422818,92.93591,1428590674.836611,-38.38491821289062,21.29585266113281,-50.40254974365234,64.76182556152344,54.03850173950195,619799.8394886667,0.0861663818359375,-0.19915771484375,-0.9463653564453125,619799.8303686667,-0.2467205697071208,-0.001884719103449077,-0.01709483103721863,619799.8087006666,2.745683316019147,0.06354797431030193,0.1706644974597923,-0.1433519870042801,-0.1091286987066269,-0.01349564455449581,-0.01071799173951149,-0.01364970859140158,0.0002371097798459232,-0.01428189918404167,0.08974713177224861,0.9769427389166297,0.1931951463480342,0.06258261948823929,-0.1698372364044189,-0.9834829568862915,192.168.1.24,100.109.58.95,5,0
2015-04-09 17:44:34.888,9,1428590674.828912,51.73566398681303,39.26762790422818,92.93591,1428590674.874115,-38.65869140625,21.15896987915039,-50.93508148193359,65.05391693115234,54.33058929443359,619799.8589756667,0.0855712890625,-0.2003936767578125,-0.95379638671875,619799.8520366667,-0.2646265996123776,0.05349198733922257,0.01091603099212579,619799.8303686667,2.745457499022038,0.06244632421419433,0.1686988144224077,-0.1654220074415207,-0.09111455827951431,-0.007639372255653143,0.03461053222417831,-0.04111511632800102,0.0420185886323452,-0.01392880954055527,0.08868307263504398,0.9770042334890816,0.1934012115712204,0.06151983886957169,-0.1678997725248337,-0.9838826060295105,192.168.1.24,100.109.58.95,5,0
2015-04-09 17:44:34.893,10,1428590674.828912,51.73566398681303,39.26762790422818,92.93591,1428590674.874115,-38.65869140625,21.15896987915039,-50.93508148193359,65.05391693115234,54.33058929443359,619799.8784446667,0.0973663330078125,-0.18060302734375,-0.944915771484375,619799.8737036667,-0.2462587775741011,0.116153504627697,0.02497725523163516,619799.8520366667,2.745896385854122,0.06100553697458876,0.1648665267329881,-0.18332839012146,-0.03573746606707573,0.0203714482486248,0.02578124403953552,-0.04199505224823952,0.03308240696787834,-0.01362433462262115,0.08667041377159158,0.9772014167737924,0.1933391009032005,0.06014099717140198,-0.1641206741333008,-0.9846052527427673,192.168.1.24,100.109.58.95,5,0
