loggingTime,loggingSample,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,IP_en0,IP_pdp_ip0,deviceOrientation,state
2015-04-09 17:44:54.255,1,1428590693.835666,51.7354522180294,39.26752061586759,94.6236,0.18,351.5625,8,10,-9999,1428590694.243048,-55.30804443359375,21.92068862915039,-45.8367805480957,214.3531341552734,203.6298065185547,26,619819.2084806667,0.11614990234375,-0.2483062744140625,-1.0008544921875,619819.2061806667,-0.02450614203480014,0.05702893158295681,-0.3055489992386441,619819.1845136667,2.5811534693863,0.1015590992317099,0.1223902957286922,-0.0815654918551445,-0.2571511566638947,-0.2636090517044067,0.03175904229283333,-0.1490179300308228,-0.08501271158456802,XArbitraryZVertical,-0.0317944305504727,0.07270738021722431,0.9588180098424638,0.2727100567446409,0.100626215338707,-0.1220849677920341,-0.9874054789543152,0,0,0,-1,619816.4814166666,walking,0,2015-04-09 17:44:51.490,2015-04-09 17:44:16.556,22,16.6913,-1,-1,2015-04-09 17:44:54.038,192.168.1.24,100.109.58.95,5,0
2015-04-09 17:44:54.264,2,1428590693.835666,51.7354522180294,39.26752061586759,94.6236,0.18,351.5625,8,10,-9999,1428590694.243048,-55.30804443359375,21.92068862915039,-45.8367805480957,214.3531341552734,203.6298065185547,26,619819.2279506667,0.1248626708984375,-0.2953033447265625,-1.00396728515625,619819.2278786667,-0.0549918796651552,-0.01283750171861796,-0.298017845992009,619819.2061806667,2.574511145733295,0.103780104476705,0.1356140588197987,0.05688762664794922,-0.03182186931371689,-0.2962867021560669,0.04178167134523392,-0.1610506325960159,0.01029836479574442,XArbitraryZVertical,-0.03075191511637452,0.07943886146281129,0.9575585089662172,0.2753642840176834,0.1026427671313286,-0.1351987570524216,-0.9854875802993774,0,0,0,-1,619816.4814166666,walking,0,2015-04-09 17:44:51.490,2015-04-09 17:44:16.556,22,16.6913,-1,-1,2015-04-09 17:44:54.038,192.168.1.24,100.109.58.95,5,0
2015-04-09 17:44:54.266,3,1428590693.835666,51.7354522180294,39.26752061586759,94.6236,0.18,351.5625,8,10,-9999,1428590694.243048,-55.30804443359375,21.92068862915039,-45.8367805480957,214.3531341552734,203.6298065185547,26,619819.2473996667,0.1006622314453125,-0.2728424072265625,-1.0731201171875,619819.2495466667,-0.3774615392057268,-0.3819798583111552,-0.3103741145016497,619819.2278786667,2.56790097542955,0.1038135121916636,0.1366207413454012,0.02640153840184212,-0.101687915623188,-0.2887555658817291,-0.007431430742144585,-0.1565284878015518,0.01244788523763418,XArbitraryZVertical,-0.03036158317796362,0.08002522396026719,0.9566172529274061,0.2784915962801544,0.1026615351438522,-0.1361961215734482,-0.9853482842445374,0,0,0,-1,619816.4814166666,walking,0,2015-04-09 17:44:51.490,2015-04-09 17:44:16.556,22,16.6913,-1,-1,2015-04-09 17:44:54.038,192.168.1.24,100.109.58.95,5,0
2015-04-09 17:44:54.281,4,1428590693.835666,51.7354522180294,39.26752061586759,94.6236,0.18,351.5625,8,10,-9999,1428590694.243048,-55.30804443359375,21.92068862915039,-45.8367805480957,214.3531341552734,203.6298065185547,26,619819.2668906667,0.0876617431640625,-0.241973876953125,-1.075668334960938,619819.2495466667,-0.3774615392057268,-0.3819798583111552,-0.3103741145016497,619819.2278786667,2.56790097542955,0.1038135121916636,0.1366207413454012,0.02640153840184212,-0.101687915623188,-0.2887555658817291,-0.007431430742144585,-0.1565284878015518,0.01244788523763418,XArbitraryZVertical,-0.03036158317796362,0.08002522396026719,0.9566172529274061,0.2784915962801544,0.1026615351438522,-0.1361961215734482,-0.9853482842445374,0,0,0,-1,619816.4814166666,walking,0,2015-04-09 17:44:51.490,2015-04-09 17:44:16.556,22,16.6913,-1,-1,2015-04-09 17:44:54.038,192.168.1.24,100.109.58.95,5,0
2015-04-09 17:44:54.300,5,1428590693.835666,51.7354522180294,39.26752061586759,94.6236,0.18,351.5625,8,10,-9999,1428590694.283176,-55.37649536132812,22.33133697509766,-45.57051467895508,214.9368286132812,204.2135009765625,26,619819.2863626668,0.0597991943359375,-0.264007568359375,-1.051605224609375,619819.2712136667,-0.6456551767821564,-0.3684818926421976,-0.4210577525664329,619819.2712136667,2.554704416239919,0.08902253048156152,0.1309573182418102,-0.5642793774604797,-0.4573400616645813,-0.4117905795574188,-0.000481986440718174,-0.1113905534148216,-0.08815697580575943,XArbitraryZVertical,-0.02359573100339889,0.07541593589034105,0.9550980436484989,0.285558059089597,0.0881437286734581,-0.1305833160877228,-0.9875113368034363,0,0,0,-1,619816.4814166666,walking,0,2015-04-09 17:44:51.490,2015-04-09 17:44:16.556,22,16.6913,-1,-1,2015-04-09 17:44:54.038,192.168.1.24,100.109.58.95,5,0
2015-04-09 17:44:54.322,6,1428590693.835666,51.7354522180294,39.26752061586759,94.6236,0.18,351.5625,8,10,-9999,1428590694.283176,-55.37649536132812,22.33133697509766,-45.57051467895508,214.9368286132812,204.2135009765625,26,619819.3058006667,0.0042266845703125,-0.224639892578125,-1.054840087890625,619819.2928816667,-0.7400445300333989,-0.3759041226002484,-0.4007149302637537,619819.2928816667,2.547118829194702,0.07988120675006892,0.1163237897010116,-0.6586690545082092,-0.4647620022296906,-0.3914477825164795,-0.01945782266557217,-0.1479459404945374,-0.0615304671227932,XArbitraryZVertical,-0.02110323182905617,0.06721068087506882,0.9544511534606778,0.2899316706402899,0.07925701886415482,-0.1160616353154182,-0.9900747537612915,0,0,0,-1,619816.4814166666,walking,0,2015-04-09 17:44:51.490,2015-04-09 17:44:16.556,22,16.6913,-1,-1,2015-04-09 17:44:54.038,192.168.1.24,100.109.58.95,5,0
2015-04-09 17:44:54.339,7,1428590693.835666,51.7354522180294,39.26752061586759,94.6236,0.18,351.5625,8,10,-9999,1428590694.321679,-56.12934875488281,22.60510635375977,-45.90334701538086,215.7419128417969,205.0185852050781,26,619819.3252716667,0.0780792236328125,-0.14801025390625,-1.09619140625,619819.3145646667,-0.5150620127240498,-0.2958367170592341,-0.378545712085498,619819.3145646667,2.539873515560974,0.07115471399106731,0.1042278167511809,-0.4336872398853302,-0.3846941590309143,-0.3692783713340759,-0.06648218631744385,-0.1206006854772568,-0.06278359144926071,XArbitraryZVertical,-0.01849926406321425,0.06024555789569615,0.9537309872703911,0.2939820639141267,0.07070887088775635,-0.1040392071008682,-0.9920564889907837,0,0,0,-1,619816.4814166666,walking,0,2015-04-09 17:44:51.490,2015-04-09 17:44:16.556,22,16.6913,-1,-1,2015-04-09 17:44:54.038,192.168.1.24,100.109.58.95,5,0
2015-04-09 17:44:54.360,8,1428590693.835666,51.7354522180294,39.26752061586759,94.6236,0.18,351.5625,8,10,-9999,1428590694.321679,-56.12934875488281,22.60510635375977,-45.90334701538086,215.7419128417969,205.0185852050781,26,619819.3447456667,0.0928192138671875,-0.062591552734375,-1.146514892578125,619819.3362176667,-0.1242567048764811,-0.1490701757010764,-0.3230731318435835,619819.3362176667,2.532802117663478,0.06577077281067088,0.09951972570446058,-0.04288235679268837,-0.2379271239042282,-0.3138058483600616,0.03045754693448544,-0.01517694070935249,-0.1297953426837921,XArbitraryZVertical,-0.01642948316284516,0.05726938868926462,0.9528224859770872,0.297623250803112,0.06539816409349442,-0.09935553371906281,-0.992900550365448,0,0,0,-1,619816.4814166666,walking,0,2015-04-09 17:44:51.490,2015-04-09 17:44:16.556,22,16.6913,-1,-1,2015-04-09 17:44:54.038,192.168.1.24,100.109.58.95,5,0
2015-04-09 17:44:54.381,9,1428590693.835666,51.7354522180294,39.26752061586759,94.6236,0.18,351.5625,8,10,-9999,1428590694.361316,-56.64266967773438,23.46062469482422,-45.40409851074219,216.7103729248047,205.9870452880859,26,619819.3642116667,0.0858154296875,-0.0073394775390625,-1.144866943359375,619819.3579146668,0.2242469522162691,-0.08308130494665696,-0.282153129062298,619819.3362176667,2.532802117663478,0.06577077281067088,0.09951972570446058,-0.04288235679268837,-0.2379271239042282,-0.3138058483600616,0.03045754693448544,-0.01517694070935249,-0.1297953426837921,XArbitraryZVertical,-0.01642948316284516,0.05726938868926462,0.9528224859770872,0.297623250803112,0.06539816409349442,-0.09935553371906281,-0.992900550365448,0,0,0,-1,619816.4814166666,walking,0,2015-04-09 17:44:51.490,2015-04-09 17:44:16.556,22,16.6913,-1,-1,2015-04-09 17:44:54.038,192.168.1.24,100.109.58.95,5,0
2015-04-09 17:44:54.402,10,1428590693.835666,51.7354522180294,39.26752061586759,94.6236,0.18,351.5625,8,10,-9999,1428590694.361316,-56.64266967773438,23.46062469482422,-45.40409851074219,216.7103729248047,205.9870452880859,26,619819.3836816667,0.0909881591796875,-0.0007171630859375,-1.113082885742188,619819.3795816667,0.4175373199214572,0.01255094558532543,-0.2591418193473594,619819.3579146668,2.526298826227818,0.06207175097172292,0.1031656095453602,0.305620938539505,-0.1719378679990768,-0.2728858888149261,0.01936786063015461,0.06887931376695633,-0.1615140587091446,XArbitraryZVertical,-0.0139289196333577,0.05849964538640468,0.9518072527470449,0.3007436288695801,0.06170208379626274,-0.1029827073216438,-0.9927675724029541,0,0,0,-1,619816.4814166666,walking,0,2015-04-09 17:44:51.490,2015-04-09 17:44:16.556,22,16.6913,-1,-1,2015-04-09 17:44:54.038,192.168.1.24,100.109.58.95,5,0
