loggingTime,loggingSample,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationHeadingTimestamp_since1970,locationMagneticHeading,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ
2015-04-09 17:44:34.763,1,1428590673.838302,51.7356636515369,39.26763989034972,92.41064,1428590674.737783,53.76145935058594,619799.7032226668,0.0398712158203125,-0.1982879638671875,-0.9674530029296875,619799.7003336668,-0.1503666025197269,0.2692067040550958,0.005688512088409253
2015-04-09 17:44:34.777,2,1428590673.838302,51.7356636515369,39.26763989034972,92.41064,1428590674.737783,53.76145935058594,619799.7227136667,0.0500335693359375,-0.1865081787109375,-1.009674072265625,619799.7220016667,-0.1690316333356563,0.2198234416456475,0.009906160306767742
2015-04-09 17:44:34.811,3,1428590673.838302,51.7356636515369,39.26763989034972,92.41064,1428590674.776776,53.68988037109375,619799.7421846667,0.0503997802734375,-0.1768798828125,-1.014450073242188,619799.7436686667,-0.2257508392838369,-0.1041748723606296,-0.03811569415343207
2015-04-09 17:44:34.813,4,1428590673.838302,51.7356636515369,39.26763989034972,92.41064,1428590674.776776,53.68988037109375,619799.7616246667,0.071929931640625,-0.1901397705078125,-1.006576538085938,619799.7653666667,-0.2204681929455557,-0.135447307776994,-0.03583176720258012
2015-04-09 17:44:34.818,5,1428590673.838302,51.7356636515369,39.26763989034972,92.41064,1428590674.776776,53.68988037109375,619799.7810946667,0.0518341064453125,-0.1688232421875,-0.9972686767578125,619799.7870336667,-0.2345027855741643,-0.09331796354470354,-0.0163443522420343
2015-04-09 17:44:34.822,6,1428590673.838302,51.7356636515369,39.26763989034972,92.41064,1428590674.816058,53.97256469726562,619799.8005636667,0.0518646240234375,-0.1834869384765625,-0.983245849609375,619799.7870336667,-0.2345027855741643,-0.09331796354470354,-0.0163443522420343
2015-04-09 17:44:34.835,7,1428590673.838302,51.7356636515369,39.26763989034972,92.41064,1428590674.816058,53.97256469726562,619799.8200486667,0.0979461669921875,-0.20611572265625,-0.9521331787109375,619799.8087006666,-0.2246445621670179,-0.01989274807845588,-0.02295058964208486
2015-04-09 17:44:34.854,8,1428590674.828912,51.73566398681303,39.26762790422818,92.93591,1428590674.836611,54.03850173950195,619799.8394886667,0.0861663818359375,-0.19915771484375,-0.9463653564453125,619799.8303686667,-0.2467205697071208,-0.001884719103449077,-0.01709483103721863
2015-04-09 17:44:34.888,9,1428590674.828912,51.73566398681303,39.26762790422818,92.93591,1428590674.874115,54.33058929443359,619799.8589756667,0.0855712890625,-0.2003936767578125,-0.95379638671875,619799.8520366667,-0.2646265996123776,0.05349198733922257,0.01091603099212579
2015-04-09 17:44:34.893,10,1428590674.828912,51.73566398681303,39.26762790422818,92.93591,1428590674.874115,54.33058929443359,619799.8784446667,0.0973663330078125,-0.18060302734375,-0.944915771484375,619799.8737036667,-0.2462587775741011,0.116153504627697,0.02497725523163516
2015-04-09 17:44:34.912,11,1428590674.828912,51.73566398681303,39.26762790422818,92.93591,1428590674.874115,54.33058929443359,619799.8979146667,0.0967254638671875,-0.167694091796875,-0.94366455078125,619799.8954016668,-0.2451719415332397,0.1245810778972527,0.02505342163881143
2015-04-09 17:44:34.931,12,1428590674.828912,51.73566398681303,39.26762790422818,92.93591,1428590674.913448,54.06967163085938,619799.9173546667,0.095916748046875,-0.1630859375,-0.9710845947265625,619799.9170696667,-0.242662178521949,0.1245528483896979,0.009327189085784516
2015-04-09 17:44:34.968,13,1428590674.828912,51.73566398681303,39.26762790422818,92.93591,1428590674.953107,54.03261566162109,619799.9368446667,0.09246826171875,-0.1582183837890625,-0.974029541015625,619799.9387366667,-0.2277535364235765,0.02823483387702008,-0.02508218377858428
2015-04-09 17:44:34.971,14,1428590674.828912,51.73566398681303,39.26762790422818,92.93591,1428590674.953107,54.03261566162109,619799.9562946667,0.0775299072265625,-0.1571502685546875,-0.984283447265625,619799.9604046667,-0.2020745382447054,0.02101713469068733,-0.05384672039642113
2015-04-09 17:44:34.990,15,1428590674.828912,51.73566398681303,39.26762790422818,92.93591,1428590674.953107,54.03261566162109,619799.9757636667,0.0676727294921875,-0.1684722900390625,-1.000823974609375,619799.9820716667,-0.1851144631586448,0.0007091997982881011,-0.00522831785204356
2015-04-09 17:44:35.010,16,1428590674.828912,51.73566398681303,39.26762790422818,92.93591,1428590674.992972,54.02293395996094,619799.9952356667,0.0495147705078125,-0.1800994873046875,-1.000411987304688,619799.9820716667,-0.1851144631586448,0.0007091997982881011,-0.00522831785204356
2015-04-09 17:44:35.047,17,1428590674.828912,51.73566398681303,39.26762790422818,92.93591,1428590675.032455,53.98919677734375,619800.0147056667,0.064605712890625,-0.203399658203125,-0.99139404296875,619800.0037456667,-0.1468107498322531,0.01772413600280436,0.02457618317146923
2015-04-09 17:44:35.049,18,1428590674.828912,51.73566398681303,39.26762790422818,92.93591,1428590675.032455,53.98919677734375,619800.0341756667,0.0729827880859375,-0.21624755859375,-0.983001708984375,619800.0254376667,-0.1515522418370302,0.01288677019878443,0.01961950775061375
2015-04-09 17:44:35.068,19,1428590674.828912,51.73566398681303,39.26762790422818,92.93591,1428590675.032455,53.98919677734375,619800.0536466667,0.057952880859375,-0.22381591796875,-0.979583740234375,619800.0470926667,-0.1973367746654544,0.01149526852921802,-0.0114004599944112
