timeA,accx,accY,accZ,timeG,gyrX,gyrY,gyrZ
1433848850611, -0.017905224, 0.008992016, 0.074222565, 1433848850620, -120.51975, -5.1050534, 0.22015563
1433848850615, 0.0009987131, -0.008129239, 0.0287323, 1433848850717, -121.91744, -5.1148276, 0.22057939
1433848850625, 0.00079897046, 0.0011580586, -0.022982597, 1433848850819, -122.17132, -5.1050534, 0.22015563
1433848850635, 0.015962068, 0.016249359, -0.072016716, 1433848850918, -122.38786, -5.1646023, 0.16527583
1433848850637, -0.017876126, -0.009984851, -0.0039834976, 1433848851010, -123.04803, -5.125373, 0.21868514
1433848850657, 0.016344883, -0.007987857, -0.02617073, 1433848851106, -122.41691, -5.2392654, 0.22121811
1433848850662, 0.0054144617, 0.0089325905, 0.0020475388, 1433848851205, -122.14705, -5.169546, 0.16543491
1433848850668, 0.011993013, -0.00051540136, 0.032283783, 1433848851317, -119.44879, -5.3145056, 0.22207555
1433848850673, 0.0019329656, -0.008073747, 0.0028429031, 1433848851412, -119.88669, -5.2044377, 0.05551915
1433848850679, -0.0061150715, 0.008863866, -0.005387306, 1433848851507, -120.55675, -5.244299, 0.22143187
1433848850687, -0.012553502, 0.007091105, 0.033997536, 1433848851605, -121.35241, -5.1844177, 0.22121812
1433848850707, -0.0023813583, -0.009649992, 0.019536972, 1433848851701, -121.084885, -5.100158, 0.27492964
1433848850724, -0.0019050874, 0.0076028705, -0.030339241, 1433848851812, -122.371445, -5.239217, 0.33182514
1433848850728, -0.0015240684, -0.009240568, -0.062579155, 1433848851910, -121.109146, -5.278921, 0.1654349
1433848850734, -0.001219254, 0.007930398, -0.042402267, 1433848852018, -121.88755, -5.154281, 0.2778629
1433848850738, -0.00097540393, -0.008978546, -0.018598557, 1433848852138, -121.705376, -5.149364, 0.11103819
1433848850759, -0.00078032166, -0.0071828365, 0.008105278, 1433848852241, -122.04164, -5.045651, 0.10997257
1433848850769, 0.007037187, 0.0019151568, 0.04479122, 1433848852323, -123.95473, -5.1148276, 0.22057939
1433848850776, -0.009693138, 0.0015321374, 0.02050972, 1433848852427, -122.49628, -5.1744347, 0.33118582
1433848850785, 0.00756838, -0.006435752, 0.03173065, 1433848852519, -121.678604, -5.239282, 0.16591395
1433848850790, -0.00160674, 0.0025128722, 0.025384903, 1433848852617, -121.927185, -5.1695294, 0.22057939
1433848850811, -0.0012853928, -0.0056511164, 0.03563118, 1433848852705, -122.21835, -5.2291784, 0.33118582
1433848850824, -0.0010283142, 0.010801971, -0.009801865, 1433848852820, -120.12445, -5.331373, 0.2251296
1433848850830, 0.006838793, -0.006681323, -0.08445549, 1433848852922, -121.3398, -5.123891, 0.22337422
1433848850838, -0.025174748, -0.0053450465, -0.052241325, 1433848853025, -121.71337, -5.051843, 0.43570098
1433848850841, 0.010505987, -0.004276037, -0.011147499, 1433848853137, -121.75642, -5.0613756, 0.49109465
1433848850865, 0.0007433444, 0.0042405725, 0.052373886, 1433848853222, -121.49337, -5.105006, 0.3302314
1433848850871, 0.008256121, -0.011930466, 0.0035924911, 1433848853320, -121.34506, -5.119729, 0.22079189
1433848850881, -0.008717991, -0.009544373, 0.01819706, 1433848853417, -121.27992, -5.1843963, 0.27652186
1433848850886, -0.0069743954, 2.5987625e-05, 0.037542343, 1433848853516, -121.182365, -5.2342196, 0.27625522
1433848850890, 0.0020819306, 0.023005128, 0.022372246, 1433848853617, -121.32644, -5.12956, 0.22121812
1433848850909, 0.009326993, 0.003081262, 0.025559425, 1433848853716, -121.10975, -5.1794744, 0.11050281
1433848850927, 0.053430267, 0.017787874, -0.14810467, 1433848853819, -120.27537, -5.16928, 0.16720511
1433848850930, -0.010885904, -0.0010926127, -0.011223793, 1433848853922, -120.64846, -5.129513, 0.33182514
1433848850938, -0.008708723, -0.0008741021, -0.10091591, 1433848854021, -121.77244, -5.21424, 0.22015563
1433848850941, -0.0069669783, -0.0006993413, -0.088394165, 1433848854128, -122.8352, -5.134506, 0.16607425
1433848850948, -0.005573582, -0.008220911, 0.06719017, 1433848854210, -122.001045, -5.064994, 0.11039636
1433848850971, 0.0032025818, 0.008746147, -0.099476814, 1433848854310, -119.01456, -5.1794744, 0.11050281
1433848850984, -0.035745163, 0.0069969296, 0.081308365, 1433848854420, -120.10565, -5.179424, 0.27625525
1433848850987, 0.017372545, 0.005597532, 0.03440094, 1433848854511, -121.78951, -5.2342706, 0.11050282
1433848850992, -0.0090863, 0.0044780374, -0.07207775, 1433848854620, -122.80601, -5.3003325, 0.16785824
1433848850999, 0.00039240345, -0.004079044, 0.14919662, 1433848854710, -123.55577, -5.1443553, 0.27732491
1433848851036, 0.00031392276, 0.012059629, 0.058066368, 1433848854816, -122.07964, -5.2292266, 0.2207919
1433848851045, 0.015574031, 0.0019862652, -0.030160904, 1433848854908, -122.38288, -5.229205, 0.27598912
1433848851049, -0.002863668, -0.0060724616, -0.062436104, 1433848855016, -122.47961, -5.1744823, 0.22079189
1433848851055, 0.0053705107, -0.012519419, 0.057311058, 1433848855189, -123.04059, -4.6266236, 0.87585646
